Book_name,Book_url,Book_Author,Book_Rating
Sense and Sensibility (Dover Thrift Editions),https://www.amazon.com/Sense-Sensibility-Dover-Thrift-Editions-ebook/dp/B008TVEGLG/ref=sr_1_1?keywords=fiction+book&qid=1576003853&s=dmusic&sr=1-1,Jane Austen,"1,501"
A Christmas Carol,https://www.amazon.com/Christmas-Carol-Charles-Dickens-ebook/dp/B08286V39B/ref=sr_1_2?keywords=fiction+book&qid=1576003853&s=dmusic&sr=1-2,Charles Dickens,"2,800"
Amidst the Chaos,https://www.amazon.com/Amidst-Chaos-Sara-Bareilles/dp/B07NLJNNSC/ref=sr_1_3?keywords=fiction+book&qid=1576003853&s=dmusic&sr=1-3,,33
Under The Red Sky,https://www.amazon.com/Under-Red-Sky-Bob-Dylan/dp/B00FLLO83I/ref=sr_1_4?keywords=fiction+book&qid=1576003853&s=dmusic&sr=1-4,,61
All Facts No Fiction: The Book of Bricko [Explicit],https://www.amazon.com/All-Facts-No-Fiction-Explicit/dp/B07MC9LPZZ/ref=sr_1_5?keywords=fiction+book&qid=1576003853&s=dmusic&sr=1-5,,
A Non-Fiction Book,https://www.amazon.com/Non-Fiction-Book-Dick-Sutphen/dp/B01LVVMILA/ref=sr_1_6?keywords=fiction+book&qid=1576003853&s=dmusic&sr=1-6,,
"Lover, Beloved: Songs from an Evening with Carson Mccullers",https://www.amazon.com/Lover-Beloved-Evening-Carson-Mccullers/dp/B01GR0QAF0/ref=sr_1_7?keywords=fiction+book&qid=1576003853&s=dmusic&sr=1-7,,20
Blueprint,https://www.amazon.com/Blueprint-Ferry-Corsten/dp/B071FBT9LB/ref=sr_1_8?keywords=fiction+book&qid=1576003853&s=dmusic&sr=1-8,,27
Origin,https://www.amazon.com/Origin/dp/B000YTNR7K/ref=sr_1_9?keywords=fiction+book&qid=1576003853&s=dmusic&sr=1-9,,32
All I See (feat. Laura Brehm),https://www.amazon.com/All-See-feat-Laura-Brehm/dp/B01BALWG18/ref=sr_1_10?keywords=fiction+book&qid=1576003853&s=dmusic&sr=1-10,,1
Guest List,https://www.amazon.com/Guest-List-ALVARO-JETFIRE/dp/B00V6BNXPQ/ref=sr_1_11?keywords=fiction+book&qid=1576003853&s=dmusic&sr=1-11,,
Organ Donor,https://www.amazon.com/Organ-Donor-Reuben-Wilson/dp/B000R01JJY/ref=sr_1_12?keywords=fiction+book&qid=1576003853&s=dmusic&sr=1-12,,3
And Weird Fiction: Ihcilon at Two Rivers Bookstore,https://www.amazon.com/Weird-Fiction-Ihcilon-Rivers-Bookstore/dp/B07P2HRFF3/ref=sr_1_13?keywords=fiction+book&qid=1576003853&s=dmusic&sr=1-13,,
You Should Talk [Explicit],https://www.amazon.com/You-Should-Talk-Explicit-Fletcher/dp/B075VGTPPX/ref=sr_1_14?keywords=fiction+book&qid=1576003853&s=dmusic&sr=1-14,,
Starshine,https://www.amazon.com/Starshine-Sweetwater-Rain/dp/B0096MCVAU/ref=sr_1_15?keywords=fiction+book&qid=1576003853&s=dmusic&sr=1-15,,1
El Cristo Negro (HVN) [Explicit],https://www.amazon.com/El-Cristo-Negro-HVN-Explicit/dp/B07Z8822LV/ref=sr_1_16?keywords=fiction+book&qid=1576003853&s=dmusic&sr=1-16,,
